,State,County,ChronicConditions,Beneficiaries,Prevalence
98,AL,Bibb,Hepatitis (Chronic Viral B & C),2072.0,0.917
99,AL,Bibb,Hyperlipidemia,2072.0,57.3842
100,AL,Bibb,Hypertension,2072.0,68.5811
101,AL,Bibb,Ischemic Heart Disease,2072.0,28.3301
102,AL,Bibb,Osteoporosis,2072.0,6.9015
103,AL,Bibb,Schizophrenia and Other Psychotic Disorders,2072.0,3.8127
104,AL,Bibb,Stroke,2072.0,4.9228
105,AL,Blount,Alcohol Abuse,5275.0,1.5735
106,AL,Blount,Alzheimer's Disease/Dementia,5275.0,11.09
107,AL,Blount,Arthritis,5275.0,35.564
108,AL,Blount,Asthma,5275.0,5.1564
109,AL,Blount,Atrial Fibrillation,5275.0,8.0758
111,AL,Blount,COPD,5275.0,14.1801
112,AL,Blount,Cancer,5275.0,7.0142
113,AL,Blount,Chronic Kidney Disease,5275.0,25.346
114,AL,Blount,Depression,5275.0,20.7962
115,AL,Blount,Diabetes,5275.0,28.6635
116,AL,Blount,Drug/Substance Abuse,5275.0,4.0569
118,AL,Blount,Heart Failure,5275.0,15.2607
119,AL,Blount,Hepatitis (Chronic Viral B & C),5275.0,0.4739
120,AL,Blount,Hyperlipidemia,5275.0,53.8199
121,AL,Blount,Hypertension,5275.0,64.7014
122,AL,Blount,Ischemic Heart Disease,5275.0,30.1991
123,AL,Blount,Osteoporosis,5275.0,5.6872
124,AL,Blount,Schizophrenia and Other Psychotic Disorders,5275.0,2.3318
125,AL,Blount,Stroke,5275.0,4.1137
126,AL,Bullock,Alcohol Abuse,958.0,2.2965
127,AL,Bullock,Alzheimer's Disease/Dementia,958.0,12.7349
128,AL,Bullock,Arthritis,958.0,43.1106
129,AL,Bullock,Asthma,958.0,4.1754
130,AL,Bullock,Atrial Fibrillation,958.0,6.0543
131,AL,Bullock,Autism Spectrum Disorders,958.0,0.0
132,AL,Bullock,COPD,958.0,11.4823
133,AL,Bullock,Cancer,958.0,8.6639
134,AL,Bullock,Chronic Kidney Disease,958.0,26.4092
135,AL,Bullock,Depression,958.0,8.8727
136,AL,Bullock,Diabetes,958.0,37.9958
137,AL,Bullock,Drug/Substance Abuse,958.0,3.0271
139,AL,Bullock,Heart Failure,958.0,17.3278
141,AL,Bullock,Hyperlipidemia,958.0,44.7808
142,AL,Bullock,Hypertension,958.0,68.2672
143,AL,Bullock,Ischemic Heart Disease,958.0,29.1232
144,AL,Bullock,Osteoporosis,958.0,3.9666
145,AL,Bullock,Schizophrenia and Other Psychotic Disorders,958.0,4.5929
146,AL,Bullock,Stroke,958.0,2.8184
147,AL,Butler,Alcohol Abuse,3508.0,2.138
148,AL,Butler,Alzheimer's Disease/Dementia,3508.0,12.4857
149,AL,Butler,Arthritis,3508.0,37.3432
150,AL,Butler,Asthma,3508.0,3.9909
151,AL,Butler,Atrial Fibrillation,3508.0,6.2714
153,AL,Butler,COPD,3508.0,14.7662
154,AL,Butler,Cancer,3508.0,7.1266
155,AL,Butler,Chronic Kidney Disease,3508.0,27.3375
156,AL,Butler,Depression,3508.0,14.1676
157,AL,Butler,Diabetes,3508.0,36.8301
158,AL,Butler,Drug/Substance Abuse,3508.0,2.6511
159,AL,Butler,HIV/AIDS,3508.0,0.3706
160,AL,Butler,Heart Failure,3508.0,19.9259
161,AL,Butler,Hepatitis (Chronic Viral B & C),3508.0,0.3706
162,AL,Butler,Hyperlipidemia,3508.0,47.1779
163,AL,Butler,Hypertension,3508.0,69.8404
164,AL,Butler,Ischemic Heart Disease,3508.0,29.333
165,AL,Butler,Osteoporosis,3508.0,3.4493
166,AL,Butler,Schizophrenia and Other Psychotic Disorders,3508.0,3.7343
167,AL,Butler,Stroke,3508.0,4.5325
168,AL,Calhoun,Alcohol Abuse,17934.0,2.1189
169,AL,Calhoun,Alzheimer's Disease/Dementia,17934.0,11.5702
170,AL,Calhoun,Arthritis,17934.0,42.8125
171,AL,Calhoun,Asthma,17934.0,5.2805
172,AL,Calhoun,Atrial Fibrillation,17934.0,7.3659
173,AL,Calhoun,Autism Spectrum Disorders,17934.0,0.1784
174,AL,Calhoun,COPD,17934.0,17.057
175,AL,Calhoun,Cancer,17934.0,7.1038
176,AL,Calhoun,Chronic Kidney Disease,17934.0,29.3353
177,AL,Calhoun,Depression,17934.0,19.7725
178,AL,Calhoun,Diabetes,17934.0,30.629
179,AL,Calhoun,Drug/Substance Abuse,17934.0,5.8883
180,AL,Calhoun,HIV/AIDS,17934.0,0.2565
181,AL,Calhoun,Heart Failure,17934.0,17.1016
182,AL,Calhoun,Hepatitis (Chronic Viral B & C),17934.0,0.7918
183,AL,Calhoun,Hyperlipidemia,17934.0,51.7286
184,AL,Calhoun,Hypertension,17934.0,66.0923
185,AL,Calhoun,Ischemic Heart Disease,17934.0,34.7385
186,AL,Calhoun,Osteoporosis,17934.0,6.1949
187,AL,Calhoun,Schizophrenia and Other Psychotic Disorders,17934.0,2.6765
188,AL,Calhoun,Stroke,17934.0,3.8419
189,AL,Chambers,Alcohol Abuse,5881.0,2.3635
190,AL,Chambers,Alzheimer's Disease/Dementia,5881.0,11.4436
191,AL,Chambers,Arthritis,5881.0,35.8953
192,AL,Chambers,Asthma,5881.0,4.421
193,AL,Chambers,Atrial Fibrillation,5881.0,6.5635
195,AL,Chambers,COPD,5881.0,15.1335
196,AL,Chambers,Cancer,5881.0,7.0226
197,AL,Chambers,Chronic Kidney Disease,5881.0,28.5326
198,AL,Chambers,Depression,5881.0,14.7764
199,AL,Chambers,Diabetes,5881.0,35.0111
200,AL,Chambers,Drug/Substance Abuse,5881.0,3.9959
201,AL,Chambers,HIV/AIDS,5881.0,0.4421
202,AL,Chambers,Heart Failure,5881.0,17.0039
203,AL,Chambers,Hepatitis (Chronic Viral B & C),5881.0,0.5441
204,AL,Chambers,Hyperlipidemia,5881.0,43.377
205,AL,Chambers,Hypertension,5881.0,67.2165
206,AL,Chambers,Ischemic Heart Disease,5881.0,30.59
207,AL,Chambers,Osteoporosis,5881.0,4.523
208,AL,Chambers,Schizophrenia and Other Psychotic Disorders,5881.0,3.5878
209,AL,Chambers,Stroke,5881.0,3.5708
210,AL,Cherokee,Alcohol Abuse,4357.0,2.364
211,AL,Cherokee,Alzheimer's Disease/Dementia,4357.0,9.8003
212,AL,Cherokee,Arthritis,4357.0,38.2373
213,AL,Cherokee,Asthma,4357.0,4.6592
214,AL,Cherokee,Atrial Fibrillation,4357.0,7.5281
216,AL,Cherokee,COPD,4357.0,19.8531
217,AL,Cherokee,Cancer,4357.0,7.5052
218,AL,Cherokee,Chronic Kidney Disease,4357.0,31.4207
219,AL,Cherokee,Depression,4357.0,21.3679
220,AL,Cherokee,Diabetes,4357.0,29.837
221,AL,Cherokee,Drug/Substance Abuse,4357.0,6.7937
223,AL,Cherokee,Heart Failure,4357.0,19.3482
224,AL,Cherokee,Hepatitis (Chronic Viral B & C),4357.0,0.6197
225,AL,Cherokee,Hyperlipidemia,4357.0,52.7886
226,AL,Cherokee,Hypertension,4357.0,63.4152
227,AL,Cherokee,Ischemic Heart Disease,4357.0,30.6863
228,AL,Cherokee,Osteoporosis,4357.0,4.3149
229,AL,Cherokee,Schizophrenia and Other Psychotic Disorders,4357.0,2.5935
230,AL,Cherokee,Stroke,4357.0,2.8919
231,AL,Chilton,Alcohol Abuse,3532.0,2.2084
232,AL,Chilton,Alzheimer's Disease/Dementia,3532.0,10.5323
233,AL,Chilton,Arthritis,3532.0,40.94
234,AL,Chilton,Asthma,3532.0,4.8414
235,AL,Chilton,Atrial Fibrillation,3532.0,8.2673
237,AL,Chilton,COPD,3532.0,13.0804
238,AL,Chilton,Cancer,3532.0,7.3613
239,AL,Chilton,Chronic Kidney Disease,3532.0,31.4836
240,AL,Chilton,Depression,3532.0,20.6116
241,AL,Chilton,Diabetes,3532.0,29.53
242,AL,Chilton,Drug/Substance Abuse,3532.0,3.4541
244,AL,Chilton,Heart Failure,3532.0,17.5255
245,AL,Chilton,Hepatitis (Chronic Viral B & C),3532.0,0.6512
246,AL,Chilton,Hyperlipidemia,3532.0,49.4337
247,AL,Chilton,Hypertension,3532.0,64.581
248,AL,Chilton,Ischemic Heart Disease,3532.0,35.957
249,AL,Chilton,Osteoporosis,3532.0,5.068
250,AL,Chilton,Schizophrenia and Other Psychotic Disorders,3532.0,2.6614
251,AL,Chilton,Stroke,3532.0,4.3318
252,AL,Choctaw,Alcohol Abuse,2979.0,2.0141
253,AL,Choctaw,Alzheimer's Disease/Dementia,2979.0,12.2524
254,AL,Choctaw,Arthritis,2979.0,52.0309
255,AL,Choctaw,Asthma,2979.0,3.7261
256,AL,Choctaw,Atrial Fibrillation,2979.0,7.3515
257,AL,Choctaw,Autism Spectrum Disorders,2979.0,0.0
258,AL,Choctaw,COPD,2979.0,10.4397
259,AL,Choctaw,Cancer,2979.0,7.3515
260,AL,Choctaw,Chronic Kidney Disease,2979.0,26.8882
261,AL,Choctaw,Depression,2979.0,14.7029
262,AL,Choctaw,Diabetes,2979.0,34.4411
263,AL,Choctaw,Drug/Substance Abuse,2979.0,7.7207
265,AL,Choctaw,Heart Failure,2979.0,16.6835
267,AL,Choctaw,Hyperlipidemia,2979.0,48.5398
268,AL,Choctaw,Hypertension,2979.0,74.0181
269,AL,Choctaw,Ischemic Heart Disease,2979.0,26.9889
270,AL,Choctaw,Osteoporosis,2979.0,3.424
271,AL,Choctaw,Schizophrenia and Other Psychotic Disorders,2979.0,2.954
272,AL,Choctaw,Stroke,2979.0,4.5317
273,AL,Clarke,Alcohol Abuse,3277.0,1.4037
274,AL,Clarke,Alzheimer's Disease/Dementia,3277.0,13.0912
275,AL,Clarke,Arthritis,3277.0,35.978
276,AL,Clarke,Asthma,3277.0,3.2347
277,AL,Clarke,Atrial Fibrillation,3277.0,7.1102
279,AL,Clarke,COPD,3277.0,11.5655
280,AL,Clarke,Cancer,3277.0,7.2017
281,AL,Clarke,Chronic Kidney Disease,3277.0,21.6356
282,AL,Clarke,Depression,3277.0,12.7251
283,AL,Clarke,Diabetes,3277.0,31.2176
284,AL,Clarke,Drug/Substance Abuse,3277.0,1.9835
286,AL,Clarke,Heart Failure,3277.0,16.4175
288,AL,Clarke,Hyperlipidemia,3277.0,37.0461
289,AL,Clarke,Hypertension,3277.0,61.5502
290,AL,Clarke,Ischemic Heart Disease,3277.0,27.5557
291,AL,Clarke,Osteoporosis,3277.0,2.5328
292,AL,Clarke,Schizophrenia and Other Psychotic Disorders,3277.0,3.0516
293,AL,Clarke,Stroke,3277.0,3.7229
294,AL,Clay,Alcohol Abuse,2205.0,1.9501
295,AL,Clay,Alzheimer's Disease/Dementia,2205.0,12.3356
296,AL,Clay,Arthritis,2205.0,38.458
297,AL,Clay,Asthma,2205.0,4.0363
298,AL,Clay,Atrial Fibrillation,2205.0,7.3016
299,AL,Clay,Autism Spectrum Disorders,2205.0,0.0
300,AL,Clay,COPD,2205.0,16.0544
301,AL,Clay,Cancer,2205.0,7.3016
302,AL,Clay,Chronic Kidney Disease,2205.0,27.483
303,AL,Clay,Depression,2205.0,18.7302
304,AL,Clay,Diabetes,2205.0,28.2086
305,AL,Clay,Drug/Substance Abuse,2205.0,3.1293
307,AL,Clay,Heart Failure,2205.0,18.8662
309,AL,Clay,Hyperlipidemia,2205.0,50.068
310,AL,Clay,Hypertension,2205.0,66.0317
311,AL,Clay,Ischemic Heart Disease,2205.0,31.1565
312,AL,Clay,Osteoporosis,2205.0,4.7166
313,AL,Clay,Schizophrenia and Other Psychotic Disorders,2205.0,3.0839
314,AL,Clay,Stroke,2205.0,3.8095
315,AL,Cleburne,Alcohol Abuse,2542.0,1.1802
316,AL,Cleburne,Alzheimer's Disease/Dementia,2542.0,11.0936
317,AL,Cleburne,Arthritis,2542.0,40.6373
318,AL,Cleburne,Asthma,2542.0,3.6979
319,AL,Cleburne,Atrial Fibrillation,2542.0,7.8678
321,AL,Cleburne,COPD,2542.0,17.6239
322,AL,Cleburne,Cancer,2542.0,6.6876
323,AL,Cleburne,Chronic Kidney Disease,2542.0,26.4752
324,AL,Cleburne,Depression,2542.0,14.7522
325,AL,Cleburne,Diabetes,2542.0,30.6845
326,AL,Cleburne,Drug/Substance Abuse,2542.0,4.0913
328,AL,Cleburne,Heart Failure,2542.0,16.7585
329,AL,Cleburne,Hepatitis (Chronic Viral B & C),2542.0,0.5114
330,AL,Cleburne,Hyperlipidemia,2542.0,48.8985
331,AL,Cleburne,Hypertension,2542.0,65.2636
332,AL,Cleburne,Ischemic Heart Disease,2542.0,33.5563
333,AL,Cleburne,Osteoporosis,2542.0,4.6027
334,AL,Cleburne,Schizophrenia and Other Psychotic Disorders,2542.0,2.1243
335,AL,Cleburne,Stroke,2542.0,3.5799
336,AL,Coffee,Alcohol Abuse,7395.0,1.8256
337,AL,Coffee,Alzheimer's Disease/Dementia,7395.0,12.3056
338,AL,Coffee,Arthritis,7395.0,43.4888
339,AL,Coffee,Asthma,7395.0,6.4773
340,AL,Coffee,Atrial Fibrillation,7395.0,8.3029
342,AL,Coffee,COPD,7395.0,15.6863
343,AL,Coffee,Cancer,7395.0,9.1954
344,AL,Coffee,Chronic Kidney Disease,7395.0,24.1379
345,AL,Coffee,Depression,7395.0,20.4733
346,AL,Coffee,Diabetes,7395.0,31.0615
347,AL,Coffee,Drug/Substance Abuse,7395.0,3.3266
348,AL,Coffee,HIV/AIDS,7395.0,0.1487
349,AL,Coffee,Heart Failure,7395.0,15.1454
350,AL,Coffee,Hepatitis (Chronic Viral B & C),7395.0,0.5409
351,AL,Coffee,Hyperlipidemia,7395.0,58.2691
352,AL,Coffee,Hypertension,7395.0,68.5328
353,AL,Coffee,Ischemic Heart Disease,7395.0,30.5477
354,AL,Coffee,Osteoporosis,7395.0,8.6815
355,AL,Coffee,Schizophrenia and Other Psychotic Disorders,7395.0,2.7992
356,AL,Coffee,Stroke,7395.0,4.7735
357,AL,Colbert,Alcohol Abuse,9690.0,1.9505
358,AL,Colbert,Alzheimer's Disease/Dementia,9690.0,11.4241
359,AL,Colbert,Arthritis,9690.0,41.7131
360,AL,Colbert,Asthma,9690.0,4.9845
361,AL,Colbert,Atrial Fibrillation,9690.0,7.8225
362,AL,Colbert,Autism Spectrum Disorders,9690.0,0.2064
363,AL,Colbert,COPD,9690.0,17.8225
364,AL,Colbert,Cancer,9690.0,7.8328
365,AL,Colbert,Chronic Kidney Disease,9690.0,25.9649
366,AL,Colbert,Depression,9690.0,22.1569
367,AL,Colbert,Diabetes,9690.0,32.9205
368,AL,Colbert,Drug/Substance Abuse,9690.0,5.4489
369,AL,Colbert,HIV/AIDS,9690.0,0.1445
370,AL,Colbert,Heart Failure,9690.0,13.9319
371,AL,Colbert,Hepatitis (Chronic Viral B & C),9690.0,0.7121
372,AL,Colbert,Hyperlipidemia,9690.0,59.5769
373,AL,Colbert,Hypertension,9690.0,71.5273
374,AL,Colbert,Ischemic Heart Disease,9690.0,30.5263
375,AL,Colbert,Osteoporosis,9690.0,6.9453
376,AL,Colbert,Schizophrenia and Other Psychotic Disorders,9690.0,2.4561
377,AL,Colbert,Stroke,9690.0,4.2724
378,AL,Conecuh,Alcohol Abuse,2518.0,2.2637
379,AL,Conecuh,Alzheimer's Disease/Dementia,2518.0,9.7299
380,AL,Conecuh,Arthritis,2518.0,50.1986
381,AL,Conecuh,Asthma,2518.0,3.6934
382,AL,Conecuh,Atrial Fibrillation,2518.0,6.5528
384,AL,Conecuh,COPD,2518.0,19.579
385,AL,Conecuh,Cancer,2518.0,8.34
386,AL,Conecuh,Chronic Kidney Disease,2518.0,21.247
387,AL,Conecuh,Depression,2518.0,13.1454
388,AL,Conecuh,Diabetes,2518.0,38.0064
389,AL,Conecuh,Drug/Substance Abuse,2518.0,4.7657
391,AL,Conecuh,Heart Failure,2518.0,20.413
392,AL,Conecuh,Hepatitis (Chronic Viral B & C),2518.0,0.4369
393,AL,Conecuh,Hyperlipidemia,2518.0,49.6823
394,AL,Conecuh,Hypertension,2518.0,72.9547
395,AL,Conecuh,Ischemic Heart Disease,2518.0,31.6124
396,AL,Conecuh,Osteoporosis,2518.0,3.2168
397,AL,Conecuh,Schizophrenia and Other Psychotic Disorders,2518.0,3.4948
398,AL,Conecuh,Stroke,2518.0,6.5131
399,AL,Coosa,Alcohol Abuse,1535.0,1.5635
400,AL,Coosa,Alzheimer's Disease/Dementia,1535.0,9.5114
401,AL,Coosa,Arthritis,1535.0,40.1954
402,AL,Coosa,Asthma,1535.0,4.0391
403,AL,Coosa,Atrial Fibrillation,1535.0,6.3844
405,AL,Coosa,COPD,1535.0,15.5049
406,AL,Coosa,Cancer,1535.0,7.1661
407,AL,Coosa,Chronic Kidney Disease,1535.0,29.9674
408,AL,Coosa,Depression,1535.0,14.1368
409,AL,Coosa,Diabetes,1535.0,30.7492
410,AL,Coosa,Drug/Substance Abuse,1535.0,3.5179
412,AL,Coosa,Heart Failure,1535.0,15.3094
414,AL,Coosa,Hyperlipidemia,1535.0,41.1726
415,AL,Coosa,Hypertension,1535.0,62.0195
416,AL,Coosa,Ischemic Heart Disease,1535.0,32.3127
417,AL,Coosa,Osteoporosis,1535.0,5.798
418,AL,Coosa,Schizophrenia and Other Psychotic Disorders,1535.0,2.6059
419,AL,Coosa,Stroke,1535.0,3.9739
420,AL,Covington,Alcohol Abuse,7395.0,1.8932
421,AL,Covington,Alzheimer's Disease/Dementia,7395.0,12.9953
422,AL,Covington,Arthritis,7395.0,47.0318
423,AL,Covington,Asthma,7395.0,4.3949
424,AL,Covington,Atrial Fibrillation,7395.0,8.9385
426,AL,Covington,COPD,7395.0,19.3644
427,AL,Covington,Cancer,7395.0,8.0054
428,AL,Covington,Chronic Kidney Disease,7395.0,31.0751
429,AL,Covington,Depression,7395.0,18.9993
430,AL,Covington,Diabetes,7395.0,33.1034
431,AL,Covington,Drug/Substance Abuse,7395.0,6.856
432,AL,Covington,HIV/AIDS,7395.0,0.1487
433,AL,Covington,Heart Failure,7395.0,20.906
434,AL,Covington,Hepatitis (Chronic Viral B & C),7395.0,0.8519
435,AL,Covington,Hyperlipidemia,7395.0,57.5254
436,AL,Covington,Hypertension,7395.0,72.5896
437,AL,Covington,Ischemic Heart Disease,7395.0,35.4699
438,AL,Covington,Osteoporosis,7395.0,6.5314
439,AL,Covington,Schizophrenia and Other Psychotic Disorders,7395.0,4.476
440,AL,Covington,Stroke,7395.0,9.831
441,AL,Crenshaw,Alcohol Abuse,2045.0,2.4939
442,AL,Crenshaw,Alzheimer's Disease/Dementia,2045.0,10.8557
443,AL,Crenshaw,Arthritis,2045.0,40.2934
444,AL,Crenshaw,Asthma,2045.0,4.9389
445,AL,Crenshaw,Atrial Fibrillation,2045.0,7.5795
447,AL,Crenshaw,COPD,2045.0,16.4303
448,AL,Crenshaw,Cancer,2045.0,7.3839
449,AL,Crenshaw,Chronic Kidney Disease,2045.0,33.7408
450,AL,Crenshaw,Depression,2045.0,14.8655
451,AL,Crenshaw,Diabetes,2045.0,32.665
452,AL,Crenshaw,Drug/Substance Abuse,2045.0,3.7164
454,AL,Crenshaw,Heart Failure,2045.0,16.1369
455,AL,Crenshaw,Hepatitis (Chronic Viral B & C),2045.0,0.6846
456,AL,Crenshaw,Hyperlipidemia,2045.0,48.7531
457,AL,Crenshaw,Hypertension,2045.0,63.912
458,AL,Crenshaw,Ischemic Heart Disease,2045.0,30.0244
459,AL,Crenshaw,Osteoporosis,2045.0,4.9878
460,AL,Crenshaw,Schizophrenia and Other Psychotic Disorders,2045.0,4.0098
461,AL,Crenshaw,Stroke,2045.0,4.9878
462,AL,Cullman,Alcohol Abuse,11283.0,1.5953
463,AL,Cullman,Alzheimer's Disease/Dementia,11283.0,10.9191
464,AL,Cullman,Arthritis,11283.0,38.1547
465,AL,Cullman,Asthma,11283.0,4.4226
466,AL,Cullman,Atrial Fibrillation,11283.0,8.854
467,AL,Cullman,Autism Spectrum Disorders,11283.0,0.1329
468,AL,Cullman,COPD,11283.0,14.8542
469,AL,Cullman,Cancer,11283.0,7.7728
470,AL,Cullman,Chronic Kidney Disease,11283.0,24.1514
471,AL,Cullman,Depression,11283.0,20.8278
472,AL,Cullman,Diabetes,11283.0,30.4618
473,AL,Cullman,Drug/Substance Abuse,11283.0,4.1567
474,AL,Cullman,HIV/AIDS,11283.0,0.1064
475,AL,Cullman,Heart Failure,11283.0,22.5561
476,AL,Cullman,Hepatitis (Chronic Viral B & C),11283.0,0.3457
477,AL,Cullman,Hyperlipidemia,11283.0,52.2733
478,AL,Cullman,Hypertension,11283.0,66.1526
479,AL,Cullman,Ischemic Heart Disease,11283.0,28.5562
480,AL,Cullman,Osteoporosis,11283.0,8.8097
481,AL,Cullman,Schizophrenia and Other Psychotic Disorders,11283.0,2.3487
482,AL,Cullman,Stroke,11283.0,4.4492
483,AL,Dale,Alcohol Abuse,7190.0,2.1419
484,AL,Dale,Alzheimer's Disease/Dementia,7190.0,11.5438
485,AL,Dale,Arthritis,7190.0,41.7942
486,AL,Dale,Asthma,7190.0,6.1892
487,AL,Dale,Atrial Fibrillation,7190.0,7.7747
488,AL,Dale,Autism Spectrum Disorders,7190.0,0.153
489,AL,Dale,COPD,7190.0,16.3561
490,AL,Dale,Cancer,7190.0,7.9277
491,AL,Dale,Chronic Kidney Disease,7190.0,27.427
492,AL,Dale,Depression,7190.0,21.21
493,AL,Dale,Diabetes,7190.0,31.975
494,AL,Dale,Drug/Substance Abuse,7190.0,3.6579
495,AL,Dale,HIV/AIDS,7190.0,0.2503
496,AL,Dale,Heart Failure,7190.0,14.3811
497,AL,Dale,Hepatitis (Chronic Viral B & C),7190.0,0.6815
498,AL,Dale,Hyperlipidemia,7190.0,54.1864
499,AL,Dale,Hypertension,7190.0,67.7608
500,AL,Dale,Ischemic Heart Disease,7190.0,30.8623
501,AL,Dale,Osteoporosis,7190.0,7.4409
502,AL,Dale,Schizophrenia and Other Psychotic Disorders,7190.0,3.2406
503,AL,Dale,Stroke,7190.0,4.1864
504,AL,Dallas,Alcohol Abuse,5259.0,1.9585
505,AL,Dallas,Alzheimer's Disease/Dementia,5259.0,12.664
506,AL,Dallas,Arthritis,5259.0,35.6722
507,AL,Dallas,Asthma,5259.0,4.8108
508,AL,Dallas,Atrial Fibrillation,5259.0,4.8678
510,AL,Dallas,COPD,5259.0,11.2189
511,AL,Dallas,Cancer,5259.0,7.4539
512,AL,Dallas,Chronic Kidney Disease,5259.0,28.1612
513,AL,Dallas,Depression,5259.0,13.976
514,AL,Dallas,Diabetes,5259.0,34.9496
515,AL,Dallas,Drug/Substance Abuse,5259.0,4.1263
516,AL,Dallas,HIV/AIDS,5259.0,0.5705
517,AL,Dallas,Heart Failure,5259.0,21.7152
518,AL,Dallas,Hepatitis (Chronic Viral B & C),5259.0,0.5705
519,AL,Dallas,Hyperlipidemia,5259.0,43.4874
520,AL,Dallas,Hypertension,5259.0,68.2829
521,AL,Dallas,Ischemic Heart Disease,5259.0,31.2417
522,AL,Dallas,Osteoporosis,5259.0,3.0234
523,AL,Dallas,Schizophrenia and Other Psychotic Disorders,5259.0,5.5714
524,AL,Dallas,Stroke,5259.0,4.2213
525,AL,DeKalb,Alcohol Abuse,10067.0,1.3708
526,AL,DeKalb,Alzheimer's Disease/Dementia,10067.0,10.5593
527,AL,DeKalb,Arthritis,10067.0,38.6808
528,AL,DeKalb,Asthma,10067.0,4.0727
529,AL,DeKalb,Atrial Fibrillation,10067.0,7.7481
