,State,County,ChronicConditionAmount,Beneficiaries,Prevalence,PerCapitaMedicareSpending
2065,GA,Newton,2 to 3,2462,29.16,6143.2054
2066,GA,Newton,4 to 5,2010,23.81,11084.2522
2067,GA,Newton,6+,1640,19.42,30883.4577
2068,GA,Oconee,0 to 1,1254,29.51,2826.2461
2069,GA,Oconee,2 to 3,1398,32.89,5818.8826
2070,GA,Oconee,4 to 5,984,23.15,10603.5984
2071,GA,Oconee,6+,614,14.45,27168.3265
2072,GA,Oglethorpe,0 to 1,515,27.58,1571.4402
2073,GA,Oglethorpe,2 to 3,532,28.49,5852.9293
2074,GA,Oglethorpe,4 to 5,460,24.64,9621.0649
2075,GA,Oglethorpe,6+,360,19.28,29037.4266
2076,GA,Paulding,0 to 1,3235,29.09,2409.3191
2077,GA,Paulding,2 to 3,3140,28.23,6496.3393
2078,GA,Paulding,4 to 5,2616,23.52,11467.3301
2079,GA,Paulding,6+,2131,19.16,30867.6352
2080,GA,Peach,0 to 1,662,20.83,2164.9219
2081,GA,Peach,2 to 3,835,26.27,5202.435
2082,GA,Peach,4 to 5,882,27.75,9513.7069
2083,GA,Peach,6+,799,25.14,26618.653
2084,GA,Pickens,0 to 1,1521,27.31,2483.7613
2085,GA,Pickens,2 to 3,1804,32.39,5557.4702
2086,GA,Pickens,4 to 5,1337,24.0,10521.3059
2087,GA,Pickens,6+,908,16.3,26347.1258
2088,GA,Pierce,0 to 1,741,27.15,1687.3172
2089,GA,Pierce,2 to 3,733,26.86,5758.4529
2090,GA,Pierce,4 to 5,676,24.77,9355.1696
2091,GA,Pierce,6+,579,21.22,30136.386
2092,GA,Pike,0 to 1,645,31.36,2004.8781
2093,GA,Pike,2 to 3,622,30.24,5946.3899
2094,GA,Pike,4 to 5,480,23.33,11573.5358
2095,GA,Pike,6+,310,15.07,28817.032
2096,GA,Polk,0 to 1,1168,21.86,1997.5244
2097,GA,Polk,2 to 3,1422,26.62,5333.2884
2098,GA,Polk,4 to 5,1402,26.24,10273.0891
2099,GA,Polk,6+,1350,25.27,29613.8766
2100,GA,Pulaski,0 to 1,332,24.72,2509.6017
2101,GA,Pulaski,2 to 3,414,30.83,5205.6654
2102,GA,Pulaski,4 to 5,321,23.9,10766.6804
2103,GA,Pulaski,6+,276,20.55,28817.6675
2104,GA,Putnam,0 to 1,811,23.53,1931.9916
2105,GA,Putnam,2 to 3,1105,32.07,5404.121
2106,GA,Putnam,4 to 5,884,25.65,9870.2028
2107,GA,Putnam,6+,646,18.75,26236.3629
2108,GA,Quitman,0 to 1,106,24.59,1573.4057
2109,GA,Quitman,2 to 3,122,28.31,6779.7056
2110,GA,Quitman,4 to 5,111,25.75,14071.9876
2111,GA,Quitman,6+,92,21.35,26541.846
2112,GA,Rabun,0 to 1,1140,31.93,1945.8221
2113,GA,Rabun,2 to 3,1124,31.48,5831.9687
2114,GA,Rabun,4 to 5,791,22.16,11852.8945
2115,GA,Rabun,6+,515,14.43,28683.8759
2116,GA,Randolph,0 to 1,248,28.31,1688.9319
2117,GA,Randolph,2 to 3,257,29.34,5051.2437
2118,GA,Randolph,4 to 5,207,23.63,9195.5276
2119,GA,Randolph,6+,164,18.72,29605.2733
2120,GA,Richmond,0 to 1,7463,40.15,1804.8371
2121,GA,Richmond,2 to 3,4867,26.18,6282.5111
2122,GA,Richmond,4 to 5,3661,19.7,12608.4129
2123,GA,Richmond,6+,2596,13.97,36134.3223
2124,GA,Rockdale,0 to 1,2216,31.67,2347.2968
2125,GA,Rockdale,2 to 3,2041,29.17,6498.2742
2126,GA,Rockdale,4 to 5,1587,22.68,11976.2042
2127,GA,Rockdale,6+,1153,16.48,30238.9798
2128,GA,Schley,0 to 1,133,29.17,1684.8692
2129,GA,Schley,2 to 3,141,30.92,4636.2811
2130,GA,Schley,4 to 5,106,23.25,11737.6985
2131,GA,Schley,6+,76,16.67,22349.5171
2132,GA,Screven,0 to 1,523,29.56,1986.9766
2133,GA,Screven,2 to 3,536,30.3,6032.3064
2134,GA,Screven,4 to 5,387,21.88,11709.9868
2135,GA,Screven,6+,323,18.26,34207.6851
2136,GA,Seminole,0 to 1,387,26.13,2546.2887
2137,GA,Seminole,2 to 3,437,29.51,4161.5243
2138,GA,Seminole,4 to 5,337,22.75,11227.8765
2139,GA,Seminole,6+,320,21.61,30074.7047
2140,GA,Spalding,0 to 1,2338,30.6,2184.9783
2141,GA,Spalding,2 to 3,2357,30.85,6095.6321
2142,GA,Spalding,4 to 5,1750,22.9,11240.1784
2143,GA,Spalding,6+,1196,15.65,28941.4622
2144,GA,Stephens,0 to 1,962,24.0,1744.6623
2145,GA,Stephens,2 to 3,1194,29.78,5555.5109
2146,GA,Stephens,4 to 5,1031,25.72,9623.1829
2147,GA,Stephens,6+,822,20.5,24964.7463
2148,GA,Stewart,0 to 1,106,23.71,3372.9855
2149,GA,Stewart,2 to 3,124,27.74,5668.4598
2150,GA,Stewart,4 to 5,113,25.28,10390.8133
2151,GA,Stewart,6+,104,23.27,33157.7348
2152,GA,Sumter,0 to 1,893,27.9,1942.3639
2153,GA,Sumter,2 to 3,938,29.3,5422.5743
2154,GA,Sumter,4 to 5,770,24.05,11790.5321
2155,GA,Sumter,6+,600,18.74,30407.0551
2156,GA,Talbot,0 to 1,211,26.84,2211.3225
2157,GA,Talbot,2 to 3,219,27.86,6035.6256
2158,GA,Talbot,4 to 5,205,26.08,10856.8637
2159,GA,Talbot,6+,151,19.21,26992.236
2160,GA,Taliaferro,0 to 1,68,29.57,1928.5628
2161,GA,Taliaferro,2 to 3,64,27.83,6502.4434
2162,GA,Taliaferro,4 to 5,61,26.52,8335.5564
2163,GA,Taliaferro,6+,37,16.09,20278.9603
2164,GA,Tattnall,0 to 1,575,25.27,2109.7151
2165,GA,Tattnall,2 to 3,667,29.32,5670.7879
2166,GA,Tattnall,4 to 5,596,26.2,10811.0398
2167,GA,Tattnall,6+,437,19.21,29951.2336
2168,GA,Taylor,0 to 1,248,24.95,2901.7994
2169,GA,Taylor,2 to 3,277,27.87,5195.233
2170,GA,Taylor,4 to 5,246,24.75,9857.486
2171,GA,Taylor,6+,223,22.43,32613.2453
2172,GA,Telfair,0 to 1,380,26.32,1739.8915
2173,GA,Telfair,2 to 3,380,26.32,5665.6957
2174,GA,Telfair,4 to 5,358,24.79,12017.6193
2175,GA,Telfair,6+,326,22.58,31806.1776
2176,GA,Terrell,0 to 1,301,26.45,2083.1496
2177,GA,Terrell,2 to 3,345,30.32,6708.7142
2178,GA,Terrell,4 to 5,282,24.78,9662.1573
2179,GA,Terrell,6+,210,18.45,29052.1401
2180,GA,Thomas,0 to 1,1747,27.97,2346.0505
2181,GA,Thomas,2 to 3,1902,30.46,5933.8777
2182,GA,Thomas,4 to 5,1497,23.97,13646.1865
2183,GA,Thomas,6+,1099,17.6,32387.5916
2184,GA,Tift,0 to 1,1101,23.78,2221.7501
2185,GA,Tift,2 to 3,1401,30.26,5755.9892
2186,GA,Tift,4 to 5,1221,26.37,10442.8712
2187,GA,Tift,6+,907,19.59,28566.484
2188,GA,Toombs,0 to 1,887,26.27,1989.0006
2189,GA,Toombs,2 to 3,901,26.68,5271.2778
2190,GA,Toombs,4 to 5,901,26.68,9379.9565
2191,GA,Toombs,6+,688,20.37,30015.1566
2192,GA,Towns,0 to 1,786,24.98,1667.3056
2193,GA,Towns,2 to 3,975,30.99,4437.0476
2194,GA,Towns,4 to 5,802,25.49,9890.9865
2195,GA,Towns,6+,583,18.53,24304.7232
2196,GA,Treutlen,0 to 1,184,25.0,2305.5236
2197,GA,Treutlen,2 to 3,180,24.46,7154.3493
2198,GA,Treutlen,4 to 5,201,27.31,9135.5318
2199,GA,Treutlen,6+,171,23.23,27691.7145
2200,GA,Troup,0 to 1,2206,27.98,1901.1318
2201,GA,Troup,2 to 3,2166,27.47,5795.6289
2202,GA,Troup,4 to 5,1940,24.61,10533.1536
2203,GA,Troup,6+,1572,19.94,30866.5783
2204,GA,Turner,0 to 1,258,25.62,1926.6086
2205,GA,Turner,2 to 3,251,24.93,5611.1969
2206,GA,Turner,4 to 5,282,28.0,10187.7185
2207,GA,Turner,6+,216,21.45,29196.1875
2208,GA,Twiggs,0 to 1,300,24.94,1460.963
2209,GA,Twiggs,2 to 3,301,25.02,6647.5731
2210,GA,Twiggs,4 to 5,320,26.6,10556.2598
2211,GA,Twiggs,6+,282,23.44,31289.3198
2212,GA,Union,0 to 1,1665,29.32,2042.455
2213,GA,Union,2 to 3,1747,30.76,5826.8288
2214,GA,Union,4 to 5,1364,24.02,9287.9656
2215,GA,Union,6+,903,15.9,23806.459
2220,GA,Upson,0 to 1,1132,33.4,1664.9851
2221,GA,Upson,2 to 3,971,28.65,6169.301
2222,GA,Upson,4 to 5,795,23.46,11198.0544
2223,GA,Upson,6+,491,14.49,28937.4703
2224,GA,Walker,0 to 1,2605,28.27,2044.4752
2225,GA,Walker,2 to 3,2503,27.16,5859.1932
2226,GA,Walker,4 to 5,2169,23.54,11072.8547
2227,GA,Walker,6+,1939,21.04,29985.2209
2228,GA,Walton,0 to 1,2326,26.01,2196.6782
2229,GA,Walton,2 to 3,2745,30.69,5908.7134
2230,GA,Walton,4 to 5,2206,24.66,10443.1866
2231,GA,Walton,6+,1667,18.64,25744.9045
2232,GA,Ware,0 to 1,1191,22.59,1926.9373
2233,GA,Ware,2 to 3,1450,27.5,5247.2042
2234,GA,Ware,4 to 5,1473,27.94,9823.8384
2235,GA,Ware,6+,1158,21.97,29863.3159
2236,GA,Warren,0 to 1,176,26.67,1332.0645
2237,GA,Warren,2 to 3,159,24.09,7067.6345
2238,GA,Warren,4 to 5,191,28.94,9837.821
2239,GA,Warren,6+,134,20.3,29575.5227
2240,GA,Washington,0 to 1,632,28.71,2290.4366
2241,GA,Washington,2 to 3,597,27.12,5983.7046
2242,GA,Washington,4 to 5,535,24.31,9329.0292
2243,GA,Washington,6+,437,19.85,27054.5413
2244,GA,Wayne,0 to 1,853,23.32,2488.7892
2245,GA,Wayne,2 to 3,1038,28.38,6967.6071
2246,GA,Wayne,4 to 5,1052,28.76,9877.1471
2247,GA,Wayne,6+,715,19.55,28106.4417
2248,GA,Webster,0 to 1,81,28.52,1127.4752
2249,GA,Webster,2 to 3,76,26.76,4286.1318
2250,GA,Webster,4 to 5,76,26.76,6483.0561
2251,GA,Webster,6+,51,17.96,30143.7441
2252,GA,Wheeler,0 to 1,191,28.85,1714.7997
2253,GA,Wheeler,2 to 3,151,22.81,7137.8903
2254,GA,Wheeler,4 to 5,169,25.53,11404.8967
2255,GA,Wheeler,6+,151,22.81,29973.7626
2256,GA,White,0 to 1,1100,26.63,2301.2621
2257,GA,White,2 to 3,1242,30.07,5456.9369
2258,GA,White,4 to 5,1021,24.72,10773.985
2259,GA,White,6+,768,18.59,26748.2834
2260,GA,Whitfield,0 to 1,3271,25.92,2201.6343
2261,GA,Whitfield,2 to 3,3668,29.06,5013.3
2262,GA,Whitfield,4 to 5,3138,24.87,9216.3753
2263,GA,Whitfield,6+,2543,20.15,24457.1678
2264,GA,Wilcox,0 to 1,223,23.13,2303.3923
2265,GA,Wilcox,2 to 3,296,30.71,5499.605
2266,GA,Wilcox,4 to 5,237,24.59,10813.7498
2267,GA,Wilcox,6+,208,21.58,28612.9015
2268,GA,Wilkes,0 to 1,490,30.72,2299.0209
2269,GA,Wilkes,2 to 3,453,28.4,7147.2388
2270,GA,Wilkes,4 to 5,379,23.76,11589.53
2271,GA,Wilkes,6+,273,17.12,35261.3526
2272,GA,Wilkinson,0 to 1,342,25.54,1641.9699
2273,GA,Wilkinson,2 to 3,361,26.96,4365.6731
2274,GA,Wilkinson,4 to 5,331,24.72,10548.4064
2275,GA,Wilkinson,6+,305,22.78,28227.7399
2276,GA,Worth,0 to 1,634,25.7,2072.8103
2277,GA,Worth,2 to 3,724,29.35,5343.3838
2278,GA,Worth,4 to 5,625,25.33,10089.8227
2279,GA,Worth,6+,484,19.62,28268.9754
2284,HI,Hawaii,0 to 1,9106,38.8,1358.6495
2285,HI,Hawaii,2 to 3,7044,30.01,4009.6264
2286,HI,Hawaii,4 to 5,4792,20.42,7986.1076
2287,HI,Hawaii,6+,2527,10.77,22576.3246
2288,HI,Honolulu,0 to 1,19546,28.78,1434.2695
2289,HI,Honolulu,2 to 3,22125,32.58,4239.0391
2290,HI,Honolulu,4 to 5,16743,24.66,8189.4496
2291,HI,Honolulu,6+,9490,13.98,25685.8653
2296,HI,Kauai,0 to 1,2703,37.74,1943.6082
2297,HI,Kauai,2 to 3,2395,33.44,4812.428
2298,HI,Kauai,4 to 5,1430,19.97,7683.2482
2299,HI,Kauai,6+,634,8.85,23080.1816
2300,HI,Maui,0 to 1,4326,38.2,1545.5379
2301,HI,Maui,2 to 3,3455,30.51,5420.7297
2302,HI,Maui,4 to 5,2316,20.45,9669.9497
2303,HI,Maui,6+,1228,10.84,26495.0018
2312,ID,Ada,0 to 1,13857,39.76,2228.9354
2313,ID,Ada,2 to 3,10352,29.7,6310.0474
2314,ID,Ada,4 to 5,6330,18.16,11767.4586
2315,ID,Ada,6+,4315,12.38,25966.0038
2316,ID,Adams,0 to 1,478,48.88,2417.9223
2317,ID,Adams,2 to 3,271,27.71,7359.3139
2318,ID,Adams,4 to 5,161,16.46,12689.1787
2319,ID,Adams,6+,68,6.95,28902.25
2320,ID,Bannock,0 to 1,3682,38.49,2317.9636
2321,ID,Bannock,2 to 3,2691,28.13,6432.4945
2322,ID,Bannock,4 to 5,1905,19.91,12904.5339
2323,ID,Bannock,6+,1289,13.47,30562.5549
2324,ID,Bear Lake,0 to 1,621,47.7,2723.1782
2325,ID,Bear Lake,2 to 3,381,29.26,9098.6038
2326,ID,Bear Lake,4 to 5,179,13.75,17633.5645
2327,ID,Bear Lake,6+,121,9.29,32664.884
2328,ID,Benewah,0 to 1,1183,49.13,2122.9004
2329,ID,Benewah,2 to 3,674,27.99,6384.9357
2330,ID,Benewah,4 to 5,328,13.62,12850.2219
2331,ID,Benewah,6+,223,9.26,35550.5003
2332,ID,Bingham,0 to 1,2386,41.09,2581.3685
2333,ID,Bingham,2 to 3,1647,28.36,8054.2116
2334,ID,Bingham,4 to 5,1050,18.08,13820.2311
2335,ID,Bingham,6+,724,12.47,31340.5081
2336,ID,Blaine,0 to 1,1909,54.37,3030.4896
2337,ID,Blaine,2 to 3,993,28.28,8420.2786
2338,ID,Blaine,4 to 5,430,12.25,16155.1856
2339,ID,Blaine,6+,179,5.1,35688.0863
2340,ID,Boise,0 to 1,513,49.09,2414.1934
2341,ID,Boise,2 to 3,289,27.66,5540.8794
2342,ID,Boise,4 to 5,160,15.31,12370.2644
2343,ID,Boise,6+,83,7.94,30956.9419
2344,ID,Bonner,0 to 1,3999,50.98,2072.7391
2345,ID,Bonner,2 to 3,2166,27.61,6496.8817
2346,ID,Bonner,4 to 5,1103,14.06,12526.2286
2347,ID,Bonner,6+,577,7.36,31526.7447
2348,ID,Bonneville,0 to 1,5178,38.71,2443.6583
2349,ID,Bonneville,2 to 3,3907,29.21,7659.0706
2350,ID,Bonneville,4 to 5,2534,18.94,13799.7288
2351,ID,Bonneville,6+,1757,13.14,31406.8434
2352,ID,Boundary,0 to 1,1122,53.68,2205.7872
2353,ID,Boundary,2 to 3,565,27.03,6660.8483
2354,ID,Boundary,4 to 5,273,13.06,12149.7175
2355,ID,Boundary,6+,130,6.22,34771.9598
2356,ID,Butte,0 to 1,294,49.41,2341.4727
2357,ID,Butte,2 to 3,156,26.22,8310.4084
2358,ID,Butte,4 to 5,92,15.46,16305.8036
2359,ID,Butte,6+,53,8.91,49639.8596
2360,ID,Camas,0 to 1,98,57.99,2228.5047
2361,ID,Camas,2 to 3,38,22.49,9584.3197
2362,ID,Camas,4 to 5,21,12.43,27590.9133
2363,ID,Camas,6+,12,7.1,28361.0067
2364,ID,Canyon,0 to 1,6041,38.69,1975.9444
2365,ID,Canyon,2 to 3,4402,28.2,6198.3272
2366,ID,Canyon,4 to 5,2991,19.16,11579.6258
2367,ID,Canyon,6+,2178,13.95,28250.2108
2368,ID,Caribou,0 to 1,656,52.48,2883.9992
2369,ID,Caribou,2 to 3,305,24.4,11710.1152
2370,ID,Caribou,4 to 5,194,15.52,22208.9993
2371,ID,Caribou,6+,95,7.6,39033.6417
2372,ID,Cassia,0 to 1,1317,45.2,2084.6166
2373,ID,Cassia,2 to 3,822,28.21,6200.304
2374,ID,Cassia,4 to 5,474,16.27,15527.6973
2375,ID,Cassia,6+,301,10.33,29058.0267
2380,ID,Clearwater,0 to 1,1208,47.67,1968.6897
2381,ID,Clearwater,2 to 3,691,27.27,6624.8749
2382,ID,Clearwater,4 to 5,398,15.71,13047.6256
2383,ID,Clearwater,6+,237,9.35,28643.5459
2384,ID,Custer,0 to 1,592,50.34,2453.8223
2385,ID,Custer,2 to 3,330,28.06,7671.3846
2386,ID,Custer,4 to 5,171,14.54,14956.3452
2387,ID,Custer,6+,83,7.06,36790.3243
2388,ID,Elmore,0 to 1,1199,36.37,2072.3892
2389,ID,Elmore,2 to 3,917,27.81,6327.9424
2390,ID,Elmore,4 to 5,661,20.05,10920.2789
2391,ID,Elmore,6+,520,15.77,25525.595
2392,ID,Franklin,0 to 1,876,47.45,2462.2821
2393,ID,Franklin,2 to 3,521,28.22,8862.1186
2394,ID,Franklin,4 to 5,288,15.6,15486.28
2395,ID,Franklin,6+,161,8.72,31119.359
2396,ID,Fremont,0 to 1,905,45.43,2958.9269
2397,ID,Fremont,2 to 3,563,28.26,7364.685
2398,ID,Fremont,4 to 5,321,16.11,13154.2478
2399,ID,Fremont,6+,203,10.19,26824.621
2400,ID,Gem,0 to 1,1041,46.16,2393.0709
2401,ID,Gem,2 to 3,683,30.29,6520.2977
2402,ID,Gem,4 to 5,306,13.57,13180.6224
2403,ID,Gem,6+,225,9.98,31421.1871
2404,ID,Gooding,0 to 1,854,41.2,2232.833
2405,ID,Gooding,2 to 3,581,28.03,8410.9574
2406,ID,Gooding,4 to 5,363,17.51,14164.2297
2407,ID,Gooding,6+,275,13.27,37465.6098
2408,ID,Idaho,0 to 1,2160,54.55,2335.3636
2409,ID,Idaho,2 to 3,1072,27.07,7882.693
2410,ID,Idaho,4 to 5,496,12.53,17785.4567
2411,ID,Idaho,6+,232,5.86,36680.0282
2412,ID,Jefferson,0 to 1,1273,42.55,2011.1949
2413,ID,Jefferson,2 to 3,786,26.27,7506.9558
2414,ID,Jefferson,4 to 5,558,18.65,13229.0947
2415,ID,Jefferson,6+,375,12.53,27778.2473
2416,ID,Jerome,0 to 1,914,41.47,2329.0735
2417,ID,Jerome,2 to 3,619,28.09,7484.2346
2418,ID,Jerome,4 to 5,405,18.38,13541.1797
2419,ID,Jerome,6+,266,12.07,30298.3559
2420,ID,Kootenai,0 to 1,9413,40.29,2420.443
2421,ID,Kootenai,2 to 3,7145,30.58,6334.9191
2422,ID,Kootenai,4 to 5,4221,18.07,12292.7559
2423,ID,Kootenai,6+,2583,11.06,29265.3819
2424,ID,Latah,0 to 1,2409,47.33,2292.184
2425,ID,Latah,2 to 3,1566,30.77,6272.5822
2426,ID,Latah,4 to 5,717,14.09,13465.9775
2427,ID,Latah,6+,398,7.82,27912.2518
2428,ID,Lemhi,0 to 1,1177,48.5,2335.857
2429,ID,Lemhi,2 to 3,702,28.92,7497.0548
2430,ID,Lemhi,4 to 5,344,14.17,12530.4346
2431,ID,Lemhi,6+,204,8.41,31005.4596
2432,ID,Lewis,0 to 1,898,50.82,2094.0817
2433,ID,Lewis,2 to 3,493,27.9,6821.7542
2434,ID,Lewis,4 to 5,257,14.54,14690.6989
2435,ID,Lewis,6+,119,6.73,36215.8529
2436,ID,Lincoln,0 to 1,314,41.26,2198.0173
2437,ID,Lincoln,2 to 3,223,29.3,6530.917
2438,ID,Lincoln,4 to 5,127,16.69,14776.8263
2439,ID,Lincoln,6+,97,12.75,32978.9108
2440,ID,Madison,0 to 1,1035,44.61,2535.9383
2441,ID,Madison,2 to 3,670,28.88,9023.8305
2442,ID,Madison,4 to 5,373,16.08,13557.614
2443,ID,Madison,6+,242,10.43,25819.9951
2444,ID,Minidoka,0 to 1,1070,43.34,2171.6017
2445,ID,Minidoka,2 to 3,722,29.24,7621.7978
2446,ID,Minidoka,4 to 5,418,16.93,13163.0086
2447,ID,Minidoka,6+,259,10.49,29443.0463
2448,ID,Nez Perce,0 to 1,2431,34.08,1974.7246
2449,ID,Nez Perce,2 to 3,2073,29.06,6119.6465
2450,ID,Nez Perce,4 to 5,1594,22.34,10678.3328
2451,ID,Nez Perce,6+,1036,14.52,24197.8203
2452,ID,Oneida,0 to 1,385,42.03,2683.5117
2453,ID,Oneida,2 to 3,249,27.18,8164.3249
2454,ID,Oneida,4 to 5,164,17.9,16468.2049
2455,ID,Oneida,6+,118,12.88,32438.2817
2456,ID,Owyhee,0 to 1,562,45.84,2396.4476
2457,ID,Owyhee,2 to 3,318,25.94,6158.6327
2458,ID,Owyhee,4 to 5,214,17.46,11421.4649
2459,ID,Owyhee,6+,132,10.77,27548.4717
2460,ID,Payette,0 to 1,1161,38.46,2073.9322
2461,ID,Payette,2 to 3,851,28.19,5489.4796
2462,ID,Payette,4 to 5,619,20.5,11324.0993
2463,ID,Payette,6+,388,12.85,28228.3791
2464,ID,Power,0 to 1,442,44.33,2752.6147
2465,ID,Power,2 to 3,271,27.18,7004.4034
2466,ID,Power,4 to 5,174,17.45,15662.2502
2467,ID,Power,6+,110,11.03,31087.2115
2468,ID,Shoshone,0 to 1,1414,40.59,1834.5199
2469,ID,Shoshone,2 to 3,1039,29.82,5415.1662
2470,ID,Shoshone,4 to 5,613,17.59,11397.7751
2471,ID,Shoshone,6+,418,12.0,30227.6754
2472,ID,Teton,0 to 1,730,55.9,2853.9737
2473,ID,Teton,2 to 3,356,27.26,9609.8904
2474,ID,Teton,4 to 5,154,11.79,18123.828
2475,ID,Teton,6+,66,5.05,27139.983
2476,ID,Twin Falls,0 to 1,3599,37.45,2696.6985
2477,ID,Twin Falls,2 to 3,2790,29.03,7275.1293
2478,ID,Twin Falls,4 to 5,1938,20.17,12503.9781
2479,ID,Twin Falls,6+,1283,13.35,28277.3425
2484,ID,Valley,0 to 1,931,50.16,2258.9122
2485,ID,Valley,2 to 3,508,27.37,7546.2049
2486,ID,Valley,4 to 5,250,13.47,14183.8963
2487,ID,Valley,6+,167,9.0,25726.3619
2488,ID,Washington,0 to 1,849,41.21,1609.3952
2489,ID,Washington,2 to 3,583,28.3,6668.227
2490,ID,Washington,4 to 5,373,18.11,12456.9005
2491,ID,Washington,6+,255,12.38,30942.105
2496,IL,Adams,0 to 1,3086,25.44,1906.7112
2497,IL,Adams,2 to 3,3658,30.16,5207.9874
2498,IL,Adams,4 to 5,2830,23.33,10391.3445
2499,IL,Adams,6+,2556,21.07,27243.3193
2500,IL,Alexander,0 to 1,421,31.25,1919.9269
2501,IL,Alexander,2 to 3,433,32.15,5212.7658
2502,IL,Alexander,4 to 5,267,19.82,11421.3755
2503,IL,Alexander,6+,226,16.78,30998.4569
2504,IL,Bond,0 to 1,791,28.4,2065.5368
2505,IL,Bond,2 to 3,773,27.76,4982.8921
2506,IL,Bond,4 to 5,645,23.16,9743.4585
2507,IL,Bond,6+,576,20.68,27903.5402
2508,IL,Boone,0 to 1,2037,33.44,2363.6304
2509,IL,Boone,2 to 3,1819,29.86,5702.1562
2510,IL,Boone,4 to 5,1250,20.52,10654.7405
2511,IL,Boone,6+,985,16.17,29553.0962
2512,IL,Brown,0 to 1,257,30.34,1576.7583
2513,IL,Brown,2 to 3,258,30.46,5298.0546
2514,IL,Brown,4 to 5,196,23.14,11765.6393
2515,IL,Brown,6+,136,16.06,32627.1338
2516,IL,Bureau,0 to 1,2083,32.9,2526.6956
2517,IL,Bureau,2 to 3,2016,31.84,6209.3402
2518,IL,Bureau,4 to 5,1380,21.79,10771.4317
2519,IL,Bureau,6+,853,13.47,29382.4001
2520,IL,Calhoun,0 to 1,205,21.29,1775.7558
2521,IL,Calhoun,2 to 3,320,33.23,5049.8572
2522,IL,Calhoun,4 to 5,246,25.55,11154.0865
2523,IL,Calhoun,6+,192,19.94,26637.2409
2524,IL,Carroll,0 to 1,1069,35.79,1704.0083
2525,IL,Carroll,2 to 3,906,30.33,5527.8922
2526,IL,Carroll,4 to 5,607,20.32,12148.7319
2527,IL,Carroll,6+,405,13.56,28445.2034
2528,IL,Cass,0 to 1,657,33.66,1890.6072
2529,IL,Cass,2 to 3,565,28.94,5070.3461
2530,IL,Cass,4 to 5,417,21.36,11071.9152
2531,IL,Cass,6+,313,16.03,30958.4509
2532,IL,Champaign,0 to 1,4690,33.79,2325.1015
2533,IL,Champaign,2 to 3,4265,30.73,5879.4922
2534,IL,Champaign,4 to 5,2847,20.51,11613.1769
2535,IL,Champaign,6+,2077,14.97,32991.0616
2536,IL,Christian,0 to 1,1747,29.59,1865.0757
2537,IL,Christian,2 to 3,1885,31.92,6503.228
2538,IL,Christian,4 to 5,1285,21.76,12702.429
2539,IL,Christian,6+,988,16.73,32460.0268
2540,IL,Clark,0 to 1,999,34.95,1970.9188
2541,IL,Clark,2 to 3,766,26.8,5167.6829
2542,IL,Clark,4 to 5,579,20.26,10653.6749
2543,IL,Clark,6+,514,17.98,31309.2423
2544,IL,Clay,0 to 1,790,27.54,2388.0591
2545,IL,Clay,2 to 3,870,30.32,5390.2295
2546,IL,Clay,4 to 5,676,23.56,11547.0763
2547,IL,Clay,6+,533,18.58,30445.7759
2548,IL,Clinton,0 to 1,1695,29.17,2185.8031
2549,IL,Clinton,2 to 3,1782,30.67,5593.0368
2550,IL,Clinton,4 to 5,1253,21.57,10126.1063
2551,IL,Clinton,6+,1080,18.59,29559.4593
2552,IL,Coles,0 to 1,2013,27.95,1763.7167
2553,IL,Coles,2 to 3,2032,28.21,5518.4617
2554,IL,Coles,4 to 5,1577,21.89,9638.7047
2555,IL,Coles,6+,1581,21.95,28706.0172
2556,IL,Cook,0 to 1,152438,31.63,2014.8462
2557,IL,Cook,2 to 3,135572,28.13,5879.8354
2558,IL,Cook,4 to 5,101132,20.98,11783.1924
2559,IL,Cook,6+,92867,19.27,34811.405
2560,IL,Crawford,0 to 1,1218,31.67,2485.2655
2561,IL,Crawford,2 to 3,1290,33.54,5573.3007
2562,IL,Crawford,4 to 5,828,21.53,11957.1497
2563,IL,Crawford,6+,510,13.26,30589.9955
2564,IL,Cumberland,0 to 1,530,30.2,1915.6012
2565,IL,Cumberland,2 to 3,501,28.55,4702.3816
2566,IL,Cumberland,4 to 5,376,21.42,9174.4271
2567,IL,Cumberland,6+,348,19.83,31051.7932
2568,IL,DeKalb,0 to 1,3451,31.46,2264.4723
2569,IL,DeKalb,2 to 3,3331,30.36,5858.6688
2570,IL,DeKalb,4 to 5,2370,21.6,11365.1277
2571,IL,DeKalb,6+,1819,16.58,33421.0476
2572,IL,DeWitt,0 to 1,826,32.42,2145.9842
2573,IL,DeWitt,2 to 3,727,28.53,5406.5497
2574,IL,DeWitt,4 to 5,548,21.51,13267.7811
2575,IL,DeWitt,6+,447,17.54,27637.701
2576,IL,Douglas,0 to 1,658,27.49,2062.7641
2577,IL,Douglas,2 to 3,688,28.74,5463.4754
2578,IL,Douglas,4 to 5,593,24.77,10630.0557
2579,IL,Douglas,6+,455,19.01,27133.4783
2580,IL,DuPage,0 to 1,32710,32.29,2127.9989
2581,IL,DuPage,2 to 3,30967,30.57,5542.1218
2582,IL,DuPage,4 to 5,21224,20.95,11309.2524
2583,IL,DuPage,6+,16390,16.18,32030.5102
2584,IL,Edgar,0 to 1,992,29.49,2157.6645
2585,IL,Edgar,2 to 3,968,28.78,5591.0572
2586,IL,Edgar,4 to 5,754,22.41,12080.6411
2587,IL,Edgar,6+,650,19.32,29958.4136
